Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number
53285047,Bunny,Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",0,3.47,Penguin Books,Paperback,305.0,2020,2019.0,,2025/04/07,to-read,to-read (#212),to-read,0,0,Bunny,Bunny,1
61237041,The Foxglove King,Hannah F. Whitten,"Whitten, Hannah F.",,"=""031643499X""","=""9780316434997""",0,3.76,Orbit,Hardcover,467.0,2023,2023.0,,2025/04/05,to-read,to-read (#211),to-read,0,0,The Foxglove King,The Nightshade Crown,1
52397,Parable of the Sower,Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.2,Grand Central Publishing,Paperback,345.0,2000,1993.0,,2025/04/04,to-read,to-read (#210),to-read,0,0,Parable of the Sower,Earthseed,1
40698027,A Boy and His Dog at the End of the World,C.A. Fletcher,"Fletcher, C.A.",,"=""0316449458""","=""9780316449458""",0,4.15,Orbit,Hardcover,365.0,2019,2019.0,,2025/04/01,to-read,to-read (#209),to-read,0,0,A Boy and His Dog at the End of the World,,
31451186,Borne,Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374115249""","=""9780374115241""",0,3.93,"MCD / Farrar, Straus and Giroux ",Hardcover,323.0,2017,2017.0,,2025/04/01,to-read,to-read (#208),to-read,0,0,Borne,Borne,1
40864002,A Psalm for the Wild-Built,Becky Chambers,"Chambers, Becky",,"=""""","=""""",0,4.23,Tordotcom,ebook,151.0,2021,2021.0,,2025/04/01,to-read,to-read (#207),to-read,0,0,A Psalm for the Wild-Built,Monk & Robot,1
210395729,Our Infinite Fates,Laura   Steven,"Steven, Laura",,"=""1250333881""","=""9781250333889""",0,3.68,Wednesday Books,Hardcover,352.0,2025,2025.0,,2025/04/01,to-read,to-read (#206),to-read,0,0,Our Infinite Fates,,
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Crown,Hardcover,273.0,2019,2018.0,,2025/04/01,to-read,to-read (#205),to-read,0,0,Normal People,,
27833803,The Hike,Drew Magary,"Magary, Drew",,"=""0399563857""","=""9780399563850""",0,3.97,Viking,Hardcover,278.0,2016,2016.0,,2025/03/31,to-read,to-read (#204),to-read,0,0,The Hike,,
50607309,Reign & Ruin,J.D.  Evans,"Evans, J.D.",,"=""1951607015""","=""9781951607012""",0,4.21,Whippoorwill Press LLC ,Paperback,420.0,2020,2020.0,,2025/03/31,to-read,to-read (#203),to-read,0,0,Reign & Ruin,Mages of the Wheel,1
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",4,4.01,Signet Classics,Mass Market Paperback,141.0,1996,1945.0,2025/03/30,2024/03/04,,,read,1,0,Animal Farm,,
204294822,Where I End,Sophie White,"White, Sophie",,"=""1645661857""","=""9781645661856""",0,3.84,Erewhon Books,Hardcover,241.0,2024,2022.0,,2025/03/30,to-read,to-read (#202),to-read,0,0,Where I End,,
27228341,Land of the Beautiful Dead,R. Lee Smith,"Smith, R. Lee",,"=""""","=""""",0,4.12,Red Hot Romance,Unknown Binding,751.0,2015,2015.0,,2025/03/29,to-read,to-read (#201),to-read,0,0,Land of the Beautiful Dead,,
25813942,This Tender Land,William Kent Krueger,"Krueger, William Kent",,"=""1476749299""","=""9781476749297""",0,4.39,Atria Books,Hardcover,450.0,2019,2019.0,,2025/03/29,to-read,to-read (#200),to-read,0,0,This Tender Land,,
13537029,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.31,HarperCollins,Kindle Edition,351.0,2012,2011.0,2025/03/29,2024/02/24,,,read,1,0,The Song of Achilles,,
93269,Earth Abides,George R. Stewart,"Stewart, George R.",,"=""0345487133""","=""9780345487131""",0,3.94,Del Rey,Paperback,345.0,2006,1949.0,,2025/03/29,to-read,to-read (#199),to-read,0,0,Earth Abides,,
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.13,Ballantine Books,Hardcover,342.0,2016,2016.0,,2025/03/29,to-read,to-read (#198),to-read,0,0,Dark Matter,,
