Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5886881,Dark Places,Gillian Flynn,"Flynn, Gillian",,"=""0307341569""","=""9780307341563""",0,3.94,Shaye Areheart Books,Hardcover,424,2009,2009,,2024/08/07,to-read,to-read (#133),to-read,,,,0,0
25733573,Reasons to Stay Alive,Matt Haig,"Haig, Matt",,"=""0143128728""","=""9780143128724""",0,4.06,Penguin Life,Paperback,256,2016,2015,,2024/08/01,to-read,to-read (#132),to-read,,,,0,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0571268862""","=""9780571268863""",0,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2024/07/23,to-read,to-read (#131),to-read,,,,0,0
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416975861""","=""9781416975861""",0,4.31,Margaret K. McElderry Books,Hardcover,479,2010,2010,,2024/07/14,to-read,to-read (#130),to-read,,,,0,0
25446343,"Muse of Nightmares (Strange the Dreamer, #2)",Laini Taylor,"Taylor, Laini",,"=""0316341711""","=""9780316341714""",0,4.41,"Little, Brown Books for Young Readers",Hardcover,514,2018,2018,,2024/07/13,to-read,to-read (#129),to-read,,,,0,0
28449207,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,"Taylor, Laini",,"=""0316341681""","=""9780316341684""",0,4.28,"Little, Brown Books for Young Readers",Hardcover,532,2017,2017,,2024/07/13,to-read,to-read (#128),to-read,,,,0,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,2024/07/10,2024/01/29,,,read,,,,2,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",4,3.96,HarperCollins Children's Books,Hardcover,525,2012,2012,2024/07/03,2024/06/28,,,read,,,,1,0
6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"Fitzpatrick, Becca",,"=""1416989412""","=""9781416989417""",4,3.92,Simon & Schuster,Hardcover,391,2009,2009,,2024/02/01,,,read,,,,1,0
7791997,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,"Fitzpatrick, Becca",,"=""1416989439""","=""9781416989431""",4,3.98,Simon & Schuster,Hardcover,427,2010,2010,,2024/02/01,,,read,,,,1,0
5152478,Wintergirls,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""067001110X""","=""9780670011100""",4,3.96,Viking Books for Young Readers,Hardcover,278,2009,2009,,2024/02/03,,,read,,,,1,0
131267546,To Kill a Mockingbrd,Harper Lee,"Lee, Harper",,"=""""","=""""",5,4.26,Efinito,Hardcover,300,2022,1960,,2024/02/25,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",5,3.80,Back Bay Books,Paperback,277,2001,1951,,2024/02/25,,,read,,,,1,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",5,4.24,MTV Books/Pocket Books,Hardcover,213,1999,1999,,2024/02/25,,,read,,,,1,0
28132722,Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",4,4.47,Pottermore from J.K. Rowling,ebook,309,2015,1997,2024/07/02,2024/01/29,,,read,,,,1,0
