Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number,Genre
123349658,Rain of Shadows and Endings,Melissa K. Roehrich,"Roehrich, Melissa K.",,"=""""","=""""",0,3.99,,Kindle Edition,670.0,2023,2023.0,,2024/09/26,to-read,to-read (#145),to-read,0,0,Rain of Shadows and Endings,,,Fantasy
205899692,The Story Collector,Evie  Woods,"Woods, Evie",Evie Gaughan,"=""0008706662""","=""9780008706661""",0,4.0,One More Chapter,Kindle Edition,358.0,2024,2018.0,,2024/09/12,to-read,to-read (#144),to-read,0,0,The Story Collector,,,Fiction
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,368.0,2022,2022.0,,2024/09/12,to-read,to-read (#143),to-read,0,0,Remarkably Bright Creatures,,,Human-animal relationships
136251,Harry Potter and the Deathly Hallows,J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759.0,2007,2007.0,,2024/01/29,currently-reading,currently-reading (#1),currently-reading,1,0,Harry Potter and the Deathly Hallows,Harry Potter,7.0,Fantasy
113436,Eragon,Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",0,3.96,Alfred A. Knopf,Paperback,503.0,2005,2002.0,,2024/09/07,to-read,to-read (#142),to-read,0,0,Eragon,The Inheritance Cycle,1.0,Young Adult Fiction
1,Harry Potter and the Half-Blood Prince,J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652.0,2006,2005.0,2024/09/05,2024/01/29,,,read,1,0,Harry Potter and the Half-Blood Prince,Harry Potter,6.0,Fantasy
2,Harry Potter and the Order of the Phoenix,J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.5,Scholastic Inc.,Paperback,870.0,2004,2003.0,2024/08/31,2024/01/29,,,read,1,0,Harry Potter and the Order of the Phoenix,Harry Potter,5.0,Fantasy
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.0,Doubleday,Hardcover,506.0,2011,2011.0,,2024/08/25,to-read,to-read (#141),to-read,0,0,The Night Circus,,,Fantasy
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.85,Saga Press,ebook,209.0,2019,2019.0,,2024/08/25,to-read,to-read (#140),to-read,0,0,This Is How You Lose the Time War,,,Science Fiction
6,Harry Potter and the Goblet of Fire,J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5,4.57,Scholastic,Paperback,734.0,2002,2000.0,2024/08/24,2024/01/29,,,read,1,0,Harry Potter and the Goblet of Fire,Harry Potter,4.0,Juvenile Fiction
16126596,The People in the Trees,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385536771""","=""9780385536776""",0,3.73,Doubleday,Hardcover,369.0,2013,2013.0,,2024/08/22,to-read,to-read (#139),to-read,0,0,The People in the Trees,,,Aging
5,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,547.0,2004,1999.0,2024/08/19,2024/01/29,,,read,1,0,Harry Potter and the Prisoner of Azkaban,Harry Potter,3.0,Juvenile Fiction
42844108,The Giver,Lois Lowry,"Lowry, Lois",,"=""""","=""""",4,4.12,Clarion Books,Kindle Edition,239.0,2018,1993.0,2024/08/18,2024/01/29,,,read,1,0,The Giver,The Giver,1.0,Young Adult Fiction
17383543,Allegiant,Veronica Roth,"Roth, Veronica",,"=""0062209272""","=""9780062209276""",4,3.6,Katherine Tegen Books,Kindle Edition,329.0,2013,2013.0,,2024/07/03,,,read,2,0,Allegiant,Divergent,3.0,Young Adult Fiction
62066104,I Hope This Finds You Well,Natalie Sue,"Sue, Natalie",,"=""006332038X""","=""9780063320383""",0,3.74,William Morrow,Kindle Edition,349.0,2024,2024.0,,2024/08/15,to-read,to-read (#138),to-read,0,0,I Hope This Finds You Well,,,Fiction
